table,reason,data_json,error
departments,skipped_existing,"{""code"": 0, ""description"": ""Sin departamento""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 2, ""description"": ""2%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 3, ""description"": ""3%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 4, ""description"": ""4%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 5, ""description"": ""5%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 6, ""description"": ""6%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 7, ""description"": ""7%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 8, ""description"": ""8%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 9, ""description"": ""9%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 10, ""description"": ""10%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 11, ""description"": ""11%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 12, ""description"": ""12%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 13, ""description"": ""13%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 15, ""description"": ""15%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 17, ""description"": ""17%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 18, ""description"": ""18%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 19, ""description"": ""19%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 20, ""description"": ""20%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 21, ""description"": ""21%""}",UNIQUE constraint failed: departments.code
departments,skipped_existing,"{""code"": 22, ""description"": ""22%""}",UNIQUE constraint failed: departments.code
tickets,integrity_error,"{""ID"": 56, ""createdAt"": ""2024-10-25 14:24:19"", ""subTotal"": 2788.0, ""total"": 2791.0, ""profit"": 525.29, ""articleCount"": 47, ""notes"": ""olivia"", ""discount"": 1750.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 57, ""createdAt"": ""2024-10-25 14:49:44"", ""subTotal"": 212.0, ""total"": 212.0, ""profit"": 21.0, ""articleCount"": 7, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 58, ""createdAt"": ""2024-10-25 14:49:44"", ""subTotal"": 212.0, ""total"": 212.0, ""profit"": 21.0, ""articleCount"": 7, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 59, ""createdAt"": ""2024-10-25 15:11:53"", ""subTotal"": 383.5, ""total"": 383.5, ""profit"": 77.0, ""articleCount"": 9, ""notes"": """", ""discount"": 9.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 60, ""createdAt"": ""2024-10-25 15:12:37"", ""subTotal"": 708.5, ""total"": 708.5, ""profit"": 119.0, ""articleCount"": 13, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 61, ""createdAt"": ""2024-10-25 15:12:37"", ""subTotal"": 708.5, ""total"": 708.5, ""profit"": 119.0, ""articleCount"": 13, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 62, ""createdAt"": ""2024-10-25 15:15:26"", ""subTotal"": 396.0, ""total"": 500.0, ""profit"": 67.39, ""articleCount"": 8, ""notes"": """", ""discount"": 64.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 63, ""createdAt"": ""2024-10-25 15:18:59"", ""subTotal"": 362.0, ""total"": 362.0, ""profit"": 38.0, ""articleCount"": 5, ""notes"": ""moctezuma 77"", ""discount"": 3.46}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 64, ""createdAt"": ""2024-10-25 15:19:46"", ""subTotal"": 97.0, ""total"": 200.0, ""profit"": 20.0, ""articleCount"": 4, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 65, ""createdAt"": ""2024-10-25 15:21:16"", ""subTotal"": 236.0, ""total"": 240.0, ""profit"": 33.0, ""articleCount"": 3, ""notes"": """", ""discount"": 0.0}",NOT NULL constraint failed: tickets.user_id
tickets,integrity_error,"{""ID"": 66, ""createdAt"": ""2024-10-25 15:37:19"", ""subTotal"": 424.0, ""total"": 729.0, ""profit"": 77.66, ""articleCount"": 10, ""notes"": ""AVILA CAMACHO #153a"", ""discount"": 100.0}",NOT NULL constraint failed: tickets.user_id
